A,B
137.892281261,1.68733969474
113.125077775,1.56125200039
54.439426722,1.58575810983
65.5670991375,1.57660201579
100.51363346,1.80287523293
55.1077943166,1.59752955408
58.256014566,1.52164507808
78.3196616005,1.57333027497
98.9927310704,1.83582170866
115.243242005,4.1225647142
95.6338371528,1.6227155221
61.5905216707,1.69966321546
69.1532994617,1.58450701137
48.8032223981,1.559463575
118.717210268,1.5647045039
76.505207695,1.91648972271
74.8451184065,1.65714167024
119.769265968,1.60993143342
55.4180079713,1.67752861046
72.1911134472,1.73293523868
145.332053433,4.05994820741
62.1153049999,1.96672498064
71.5749753947,1.4875647439
69.3748437803,1.84135356649
12.1248537634,1.70323124989
66.4995663665,1.56303580282
110.468086319,1.62478207524
78.7000261908,2.04953708254
62.7696588985,1.73378524937
87.0233088102,1.55714805756
82.3594703137,1.58295410021
102.902357315,1.66269744723
79.1491046962,1.538557059
54.6850243077,2.10381929222
111.662575099,1.45779134991
76.0111215997,1.957853525
52.0071366377,1.65917843955
83.4411403466,1.8157125405
99.105383611,1.55039709422
106.255932539,2.13224137735
59.6783602532,1.7325659229
72.2080547176,72.2080547176
97.8211674245,1.59154332506
59.1533509428,1.60702398667
134.099304963,2.36826433428
55.6600154623,1.53622334412
100.659644711,1.69861142558
99.6157107185,1.69240266477
282.225265903,1.70559322042
120.142104175,1.6052452699
88.7141289059,1.67618640487
91.6930471254,1.5813579234
104.287969619,1.51553701041
67.2316410418,1.51523983043
58.8887055843,1.71336741702
86.7136049305,1.5447962516
106.992710496,1.5881027664
68.9302115483,1.5917767933
63.2503517654,1.5301983479
83.3622420637,1.58921476245
111.650328778,1.7934407288
76.9655180822,1.57666155166
206.893463754,1.51154937408
78.3509420887,1.72038407875
79.9719786504,1.48613997155
89.7746871417,1.57082948829
56.8560546088,1.61330753487
67.9785918856,2.35148177254
57.4701995168,1.6405857098
63.9961046763,1.5703173142
81.4403776604,1.58988918772
57.3919622716,1.75637226024
67.0726038078,1.53532835037
57.6498642928,1.37613940167
101.685505133,1.70323025064
36.8626229408,1.72920719066
120.631784585,1.55743095034
108.378964508,1.52277324306
57.7352500899,1.64535674565
83.2567503558,1.38368234633
