A,B
141.824068915,3.04049654093
151.780280831,2.57459144247
92.6146599874,1.64189105391
110.824485425,2.39495279961
112.537535475,2.83336884595
82.6536216174,1.61335301303
90.3900986776,1.86814391883
115.311502957,2.15309424862
120.670277704,2.9457682354
128.871745744,2.02260417871
133.232825294,3.0913725272
105.613103809,2.95366966168
119.352667488,1.60415472159
105.764053269,1.92724850887
137.818424572,2.19714193957
127.747533166,1.83914588841
94.4952133031,2.87186362529
163.973034104,1.56627670396
107.659455238,1.52580050274
106.402032356,1.66293612934
191.654030711,1.66908318041
122.684015571,1.93819920001
79.6808134385,2.35158228291
113.158142093,2.41531769618
124.083039063,1.58319904209
103.324195767,2.84989504094
93.0814581203,1.65242090797
141.672809217,2.86270267732
119.52573807,3.34389441551
127.089446451,1.92286312382
114.236083137,3.04772803094
130.414648061,1.60112018283
158.669322496,1.73263067964
119.799947351,1.57656340103
100.223296457,3.07292006231
163.474968388,1.99181904999
105.780301771,2.63057724479
96.1410301619,1.89606026514
115.708116109,2.63504141462
114.448466236,1.59826552144
147.676885812,2.34053781645
110.270267168,1.66056794975
95.7004521329,2.00128401504
125.946150056,1.62080743583
131.956183373,1.65759089005
114.847625119,1.5002349743
118.982831208,1.93420382893
127.313709356,1.96640262865
107.139994637,1.54606642104
159.235245859,1.83876875317
125.963944853,1.66743403542
325.682353962,2.22319122972
109.216010684,2.1073115731
144.245696712,1.61711429805
128.700878316,3.06703622296
116.350057787,2.30296822985
131.888559835,2.10132271024
114.424177945,2.72468172394
114.137993732,1.71283716935
103.098445644,1.85309499856
139.491236184,1.70976258731
103.800253519,1.90247115192
107.887504602,1.61912251218
115.073453781,1.8134913777
130.991654391,1.61026302518
139.909863081,1.88431957827
258.353909965,1.7157147366
106.595740807,2.16887895568
96.0485971941,2.43360817292
119.202722678,1.81316369666
103.00195261,1.82402660201
110.483401471,2.17519268256
99.5502639116,2.09875273522
117.632896015,1.78895666816
94.0190633796,1.67489456433
117.162653009,1.5564080843
95.3800941105,1.68862495461
94.6143262933,2.08421108089
79.8075016896,2.16890405764
144.270284897,2.26905325533
114.551376834,2.61918152273
109.263898204,1.8134845386
111.50977621,2.3504028973
